Date,Month,Year,Neighborhood,Street,NumberOfRooms,Floor,Size,Apartment_Price
01/04/2009,4,2009,Rambam,Dror,4,3,88,760000
01/04/2009,4,2009,Rambam,Nordau,3.5,4,74,775000
01/04/2009,4,2009,Rambam,Veksler,2,3,47,606000
02/04/2009,4,2009,Rambam,Dror,3,5,66,730000
02/04/2009,4,2009,NeotAshalim,HeHalil,3,2,66,1280000
03/04/2009,4,2009,Rambam,HaGdudHaivri,3.5,2,77,715000
03/04/2009,4,2009,Rambam,Weizbard,2.5,1,57,620000
05/04/2009,4,2009,NeotShikma,HaRashba,4,7,82,1140000
05/04/2009,4,2009,Rambam,Deganya,3,2,77,669000
06/04/2009,4,2009,NeotShikma,Kalischer,4,2,102,1330000
07/04/2009,4,2009,NeotShikma,HaRavGoren,4,3,65,1120000
07/04/2009,4,2009,Rambam,Dror,2,2,59,675000
12/04/2009,4,2009,Rambam,Dror,3.5,1,71,760000
13/04/2009,4,2009,Rambam,HaRavMaimon,4,4,98,1165000
19/04/2009,4,2009,NeotShikma,HaRavGoren,5,12,176,2000000
19/04/2009,4,2009,NeotAshalim,HaTizmoret,4,11,112,1520000
20/04/2009,4,2009,Rambam,YehudaHalevi,3,1,59,700000
22/04/2009,4,2009,NeotAshalim,HaOrgan,4,6,98,1260000
23/04/2009,4,2009,Rambam,RabbiYosefKaro,4,2,87,800000
23/04/2009,4,2009,Rambam,HaAhimSuleiman,4,4,97,1150000
24/04/2009,4,2009,Rambam,Dror,3.5,1,59,720000
26/04/2009,4,2009,Rambam,HazonIsh,4,3,67,705000
28/04/2009,4,2009,NeotShikma,BenSaruq,4,6,96,1274000
30/04/2009,4,2009,PrasNovel,MaagalAshalom,4,12,110,1530000
30/04/2009,4,2009,Rambam,HaRavHarlap,4,1,87,908000
30/04/2009,4,2009,NeotShikma,Kapah,3,4,75,1030000
03/05/2009,5,2009,NeotAshalim,HaKlarnit,4,4,86,1100000
04/05/2009,5,2009,Rambam,Veksler,2,2,55,550000
06/05/2009,5,2009,Rambam,YehudaLeib,3,2,66,700000
07/05/2009,5,2009,Rambam,ShlomoEliraz,4,9,109,1000000
07/05/2009,5,2009,Rambam,HaRavMaimon,4,11,98,1285000
07/05/2009,5,2009,NeotAshalim,HaOrgan,3,5,62,950000
07/05/2009,5,2009,Rambam,AriehRafael,4,2,89,806000
11/05/2009,5,2009,Rambam,HaAhimSuleiman,4,3,97,1040000
12/05/2009,5,2009,Rambam,Abarbanel,4,1,115,980000
12/05/2009,5,2009,Rambam,HaRavMaimon,4,2,98,1150000
12/05/2009,5,2009,NeotShikma,Alkabets,3,2,66,1100000
13/05/2009,5,2009,NeotAshalim,HaTizmoret,5,5,118,1420000
13/05/2009,5,2009,Rambam,Jerusalem,3,3,77,700000
17/05/2009,5,2009,NeotAshalim,HaOrgan,4,3,93,1295000
17/05/2009,5,2009,Rambam,TsadiGimelBanot,3,3,67,800000
18/05/2009,5,2009,Rambam,HaRavMaimon,5,4,117,1200000
18/05/2009,5,2009,NeotShikma,Kalischer,3,1,66,970000
18/05/2009,5,2009,Rambam,HaRavMaimon,5,6,117,1410000
19/05/2009,5,2009,Rambam,Habad,4,8,85,900000
19/05/2009,5,2009,Rambam,HazonIsh,2.5,4,54,580000
20/05/2009,5,2009,NeotShikma,HaRashba,3,3,69,980000
23/05/2009,5,2009,Rambam,Yehuda,2.5,2,55,535000
24/05/2009,5,2009,NeotShikma,BenSaruq,5,7,108,1370000
24/05/2009,5,2009,Rambam,HaAhimSuleiman,4,2,94,1055000
24/05/2009,5,2009,Rambam,Abarbanel,4,4,95,890000
24/05/2009,5,2009,Rambam,BenZeev,3,1,61,800000
24/05/2009,5,2009,Rambam,Klevitsski,3,1,66,725000
25/05/2009,5,2009,PrasNovel,MaagalAshalom,3,4,76,1150000
25/05/2009,5,2009,Rambam,EinHaKore,5,7,101,970000
25/05/2009,5,2009,Rambam,AsherLevin,4,3,90,830000
26/05/2009,5,2009,NeotAshalim,HaMapuhit,3,2,69,941000
26/05/2009,5,2009,Rambam,YehudaHalevi,3,2,85,920000
28/05/2009,5,2009,PrasNovel,MaagalAshalom,5,8,108,1970000
31/05/2009,5,2009,NeotShikma,HaShiraHaIvrit,4,7,82,1130000
01/06/2009,6,2009,NeotShikma,Rival,3,3,76,1090000
01/06/2009,6,2009,Rambam,Jerusalem,3.5,1,71,830000
02/06/2009,6,2009,Rambam,YehudaHalevi,3,3,85,930000
02/06/2009,6,2009,Rambam,YehudaLeib,3,3,53,687000
02/06/2009,6,2009,Rambam,Brandeis,3,1,53,723000
03/06/2009,6,2009,Rambam,HaRavMaimon,5,3,117,1350000
03/06/2009,6,2009,Rambam,YehudaHalevi,3,4,85,945000
04/06/2009,6,2009,Rambam,BenZeev,3,1,59,790000
05/06/2009,6,2009,Rambam,HazonIsh,4,1,81,890000
07/06/2009,6,2009,Rambam,HaHafetsHaim,4,3,84,720000
07/06/2009,6,2009,Rambam,MosheMizrahi,4,6,94,875000
08/06/2009,6,2009,NeotAshalim,HaTizmoret,4,10,83,1180000
08/06/2009,6,2009,Rambam,Habad,3.5,2,89,785000
11/06/2009,6,2009,NeotAshalim,HeHalil,3,2,70,920000
11/06/2009,6,2009,Rambam,EinHaKore,4,2,95,1015000
12/06/2009,6,2009,Rambam,HaRavSibahi,4,3,77,626000
12/06/2009,6,2009,Rambam,ItamarBenAvi,3.5,2,77,830000
14/06/2009,6,2009,NeotAshalim,HaMapuhit,3,4,72,900000
14/06/2009,6,2009,NeotShikma,Alkabets,5,7,110,1450000
14/06/2009,6,2009,Rambam,Dror,3,2,65,740000
17/06/2009,6,2009,Rambam,ShlomoEliraz,4,18,100,1115000
17/06/2009,6,2009,NeotAshalim,HaGitit,4,5,92,1250000
17/06/2009,6,2009,Rambam,HaHafetsHaim,3,3,54,630000
18/06/2009,6,2009,Rambam,HaRavMaimon,5,8,117,1465000
18/06/2009,6,2009,NeotAshalim,HaMapuhit,3,5,69,940000
18/06/2009,6,2009,Rambam,HaRavSibahi,4,3,92,970000
21/06/2009,6,2009,PrasNovel,MaagalAshalom,4,11,94,1537000
21/06/2009,6,2009,Rambam,Margolin,3,2,62,750000
22/06/2009,6,2009,Rambam,HaKovesh,5,4,103,930000
22/06/2009,6,2009,Rambam,Abarbanel,4,7,96,940000
22/06/2009,6,2009,NeotShikma,BenSaruq,3,11,68,1065000
23/06/2009,6,2009,NeotShikma,HaRashba,4,5,97,1227000
23/06/2009,6,2009,NeotShikma,HaNagid,4,5,96,1320000
23/06/2009,6,2009,NeotShikma,Kapah,3,2,65,1140000
24/06/2009,6,2009,Rambam,HaAhimSuleiman,4,6,94,1200000
25/06/2009,6,2009,NeotShikma,HaRashba,3,6,65,979000
26/06/2009,6,2009,Rambam,DavidAlroi,3,2,48,650000
28/06/2009,6,2009,Rambam,ShlomoEliraz,4,19,100,1125000
29/06/2009,6,2009,PrasNovel,MaagalAshalom,4,9,95,1500000
29/06/2009,6,2009,PrasNovel,MaagalAshalom,5,7,108,1700000
01/07/2009,7,2009,Rambam,AhadHaAm,3,1,63,618000
02/07/2009,7,2009,Rambam,Jerusalem,2,3,47,572000
03/07/2009,7,2009,NeotAshalim,HaKlarnit,3,5,64,1030000
03/07/2009,7,2009,NeotAshalim,HaTizmoret,3,2,67,1070000
06/07/2009,7,2009,NeotShikma,Kapah,3,5,65,1030000
07/07/2009,7,2009,Rambam,Nordau,3.5,2,74,750000
07/07/2009,7,2009,Rambam,Givati,3,4,62,745000
08/07/2009,7,2009,Rambam,Abarbanel,5,3,123,1087000
08/07/2009,7,2009,Rambam,Jerusalem,3.5,7,71,780000
12/07/2009,7,2009,NeotShikma,Rival,4,9,114,1435000
13/07/2009,7,2009,NeotShikma,HaRashba,3,7,65,950000
14/07/2009,7,2009,NeotShikma,HaRavGoren,4,10,96,1356000
14/07/2009,7,2009,Rambam,Givati,4,1,95,795000
15/07/2009,7,2009,Rambam,HaGdudHaivri,4,6,96,850000
15/07/2009,7,2009,NeotShikma,Kapah,3,2,65,950000
15/07/2009,7,2009,Rambam,Dror,3,4,61,635000
15/07/2009,7,2009,Rambam,Tanhum,4.5,2,100,1035000
19/07/2009,7,2009,Rambam,YehudaLeib,2,2,46,549000
20/07/2009,7,2009,NeotAshalim,HaOrgan,3,4,62,1025000
21/07/2009,7,2009,NeotShikma,HaNagid,3,7,65,920000
21/07/2009,7,2009,NeotAshalim,HaOrgan,5,5,108,1440000
21/07/2009,7,2009,Rambam,YehudaHalevi,3,1,85,980000
21/07/2009,7,2009,Rambam,ItamarBenAvi,3,1,64,770000
22/07/2009,7,2009,PrasNovel,MaagalAshalom,3,1,76,1180000
22/07/2009,7,2009,Rambam,HaAhimSuleiman,5,8,81,1790000
23/07/2009,7,2009,Rambam,YohananHaSandlar,3,5,73,900000
24/07/2009,7,2009,Rambam,DavidAlroi,2,1,36,500000
26/07/2009,7,2009,Rambam,Mohilever,4,6,83,860000
02/08/2009,8,2009,Rambam,Alkalai,2,1,60,590000
04/08/2009,8,2009,Rambam,Yehuda,4,4,81,750000
04/08/2009,8,2009,NeotAshalim,HaTizmoret,3,5,69,995000
04/08/2009,8,2009,NeotShikma,Alterman,3,1,65,1000000
04/08/2009,8,2009,Rambam,TsadiGimelBanot,4,2,86,1050000
05/08/2009,8,2009,Rambam,EinHaKore,5,1,117,995000
05/08/2009,8,2009,NeotShikma,HaRashba,3,3,65,945000
05/08/2009,8,2009,NeotAshalim,HaKinor,3,1,69,1030000
05/08/2009,8,2009,Rambam,Jerusalem,2,2,47,645000
06/08/2009,8,2009,NeotAshalim,HaKinor,6,5,138,1680000
06/08/2009,8,2009,Rambam,HaRavSibahi,3,4,65,550000
06/08/2009,8,2009,Rambam,Abarbanel,3.5,8,86,920000
07/08/2009,8,2009,NeotShikma,HaNagid,4,1,96,1287000
08/08/2009,8,2009,Rambam,MordekhaiMotelehRosenstein,3,1,106,1397500
09/08/2009,8,2009,Rambam,HaAhimSuleiman,2,3,47,585000
11/08/2009,8,2009,Rambam,HaRavMaimon,5,7,117,1485000
13/08/2009,8,2009,Rambam,HaRavMaimon,5,9,117,1530000
13/08/2009,8,2009,Rambam,TsadiGimelBanot,3,3,79,765000
13/08/2009,8,2009,NeotShikma,Alkabets,3,2,98,1380000
13/08/2009,8,2009,Rambam,AsherLevin,3.5,3,79,910000
14/08/2009,8,2009,Rambam,HaGdudHaivri,3,3,69,815000
16/08/2009,8,2009,Rambam,EinHaKore,5,5,121,1235000
16/08/2009,8,2009,Rambam,BenZeev,3,4,65,825000
17/08/2009,8,2009,Rambam,Margolin,3,1,66,751000
17/08/2009,8,2009,Rambam,HaRavKuk,3,3,65,860000
18/08/2009,8,2009,NeotShikma,AlHarizi,4,2,105,1250000
18/08/2009,8,2009,Rambam,HaGdudHaivri,4,8,89,900000
18/08/2009,8,2009,Rambam,HazonIsh,3.5,4,70,775000
18/08/2009,8,2009,Rambam,Dror,2,2,68,840000
19/08/2009,8,2009,Rambam,HaRavMaimon,5,5,117,1445000
19/08/2009,8,2009,NeotShikma,Kapah,3,1,71,1000000
19/08/2009,8,2009,NeotShikma,HaRashba,3,8,70,1175000
20/08/2009,8,2009,Rambam,Vigodski,5.5,4,122,1300000
20/08/2009,8,2009,Rambam,Abarbanel,3,5,79,810000
21/08/2009,8,2009,NeotShikma,HaRavGoren,4,4,92,1360000
23/08/2009,8,2009,Rambam,Vitkin,3,2,81,775000
23/08/2009,8,2009,Rambam,KidushHaShem,4,2,93,920000
24/08/2009,8,2009,NeotShikma,HaRavGoren,4,10,96,1350000
24/08/2009,8,2009,Rambam,HaGdudHaivri,3,1,64,700000
25/08/2009,8,2009,NeotShikma,Alterman,3,1,64,1045000
30/08/2009,8,2009,NeotShikma,HaNagid,3,2,65,1000000
30/08/2009,8,2009,Rambam,Brandeis,3,3,81,778000
01/09/2009,9,2009,NeotAshalim,HaTizmoret,4,6,89,1470000
01/09/2009,9,2009,NeotAshalim,HaKlarnit,3,3,66,1100000
01/09/2009,9,2009,NeotShikma,HaNagid,3,2,63,1060000
01/09/2009,9,2009,Rambam,AhadHaAm,3,2,62,765000
02/09/2009,9,2009,Rambam,HaAhimSuleiman,4,1,94,1218000
03/09/2009,9,2009,NeotShikma,Alterman,3,1,65,980000
03/09/2009,9,2009,Rambam,KidushHaShem,4,3,81,840000
06/09/2009,9,2009,NeotAshalim,HaMapuhit,3,2,72,965000
07/09/2009,9,2009,NeotShikma,Shlonsky,5,1,129,1717000
07/09/2009,9,2009,Rambam,TsadiGimelBanot,4,4,86,887000
08/09/2009,9,2009,PrasNovel,MaagalAshalom,4,9,94,1550000
08/09/2009,9,2009,NeotAshalim,HaKlarnit,3,1,64,950000
08/09/2009,9,2009,Rambam,YehudaHalevi,5,4,117,1370000
09/09/2009,9,2009,NeotShikma,Shlonsky,5,1,118,1800000
09/09/2009,9,2009,Rambam,Abarbanel,3.5,7,78,965000
12/09/2009,9,2009,Rambam,YehudaRagunis,5,1,120,1585000
15/09/2009,9,2009,NeotShikma,Shlonsky,5,1,119,1767000
15/09/2009,9,2009,NeotAshalim,HaKlarnit,3,4,64,1070000
15/09/2009,9,2009,NeotShikma,BenSaruq,5,4,116,1780000
15/09/2009,9,2009,Rambam,YehudaHalevi,3,1,82,960000
16/09/2009,9,2009,Rambam,HazonIsh,5,2,98,800000
16/09/2009,9,2009,NeotShikma,Shlonsky,4,1,100,1600000
16/09/2009,9,2009,NeotShikma,Kapah,3,12,65,1100000
16/09/2009,9,2009,Rambam,Balfour,4,1,99,1080000
17/09/2009,9,2009,Rambam,HaRavZinger,4,4,77,961000
17/09/2009,9,2009,Rambam,Margolin,2,2,58,792000
22/09/2009,9,2009,Rambam,YohananHaSandlar,4,5,96,1050000
23/09/2009,9,2009,Rambam,HaAhimSuleiman,3,1,58,672000
23/09/2009,9,2009,NeotShikma,Shlonsky,4,2,100,1800000
23/09/2009,9,2009,NeotAshalim,HaKinor,4,2,91,1375000
24/09/2009,9,2009,NeotShikma,HaRabimiLiubavich,4,2,85,1225000
24/09/2009,9,2009,NeotShikma,Kalischer,5,3,112,1820000
24/09/2009,9,2009,NeotAshalim,HaTizmoret,4,4,83,1350000
24/09/2009,9,2009,Rambam,Rashi,4,1,80,970000
25/09/2009,9,2009,Rambam,YohananHaSandlar,3,5,73,965000
27/09/2009,9,2009,Rambam,DavidAlroi,2,3,36,570000
29/09/2009,9,2009,NeotShikma,HaRashba,4,5,82,1200000
01/10/2009,10,2009,PrasNovel,MaagalAshalom,3,3,76,1475000
01/10/2009,10,2009,Rambam,HaGdudHaivri,4,2,73,990000
05/10/2009,10,2009,Rambam,Mohilever,3,4,81,730000
06/10/2009,10,2009,Rambam,KidushHaShem,4,4,83,790000
08/10/2009,10,2009,Rambam,YehudaHalevi,4.5,4,112,1140000
11/10/2009,10,2009,NeotShikma,Shlonsky,4,1,100,1550000
13/10/2009,10,2009,NeotShikma,BenSaruq,5,7,108,1700000
15/10/2009,10,2009,Rambam,YehudaRagunis,5,2,125,1442000
19/10/2009,10,2009,Rambam,EinHaKore,2,4,44,650000
20/10/2009,10,2009,Rambam,ShlomoEliraz,4,4,100,1197493
21/10/2009,10,2009,Rambam,DavidAlroi,2,1,36,200000
21/10/2009,10,2009,Rambam,Dror,2,1,59,517000
21/10/2009,10,2009,NeotShikma,Alkabets,4,8,94,1390000
26/10/2009,10,2009,Rambam,Brandeis,4,4,100,940000
26/10/2009,10,2009,PrasNovel,MaagalAshalom,3,3,76,1315000
26/10/2009,10,2009,NeotShikma,HaNagid,4,11,104,1700000
27/10/2009,10,2009,NeotAshalim,HaTizmoret,5,6,119,1555000
27/10/2009,10,2009,Rambam,ShlomoEliraz,4,9,110,1246000
27/10/2009,10,2009,Rambam,Balfour,4,3,130,1600000
27/10/2009,10,2009,Rambam,Jerusalem,3,1,64,790000
27/10/2009,10,2009,Rambam,Brandeis,3,4,53,635000
29/10/2009,10,2009,NeotShikma,Shlonsky,4,3,100,1800000
29/10/2009,10,2009,Rambam,ShlomoEliraz,4,10,110,1254484
29/10/2009,10,2009,Rambam,Balfour,4,1,95,1130000
01/11/2009,11,2009,NeotShikma,Kapah,4,6,98,1425000
02/11/2009,11,2009,NeotAshalim,HaUgav,4,5,93,1335000
04/11/2009,11,2009,Rambam,Margolin,3.5,3,75,870000
05/11/2009,11,2009,Rambam,HaGaonMiVilna,4,4,90,1113000
05/11/2009,11,2009,NeotShikma,BenSaruq,3,6,65,1100000
08/11/2009,11,2009,NeotAshalim,HaTizmoret,3,7,69,1070000
10/11/2009,11,2009,Rambam,HaGdudHaivri,4,3,81,895000
11/11/2009,11,2009,Rambam,Alkalai,3.5,4,71,915000
13/11/2009,11,2009,NeotShikma,HaNagid,4,9,94,1415000
15/11/2009,11,2009,Rambam,ShlomoEliraz,4,10,100,1241508
15/11/2009,11,2009,NeotShikma,Shlonsky,5,2,135,2590000
16/11/2009,11,2009,NeotShikma,HaRavGoren,4,3,92,1410000
16/11/2009,11,2009,NeotShikma,HaRavGoren,3,3,71,1200000
16/11/2009,11,2009,Rambam,Ahiezer,3,4,53,580000
17/11/2009,11,2009,Rambam,HaRavMaimon,3,3,78,1150000
18/11/2009,11,2009,Rambam,TsadiGimelBanot,3,4,63,675000
18/11/2009,11,2009,Rambam,Heissman,3,2,60,780000
19/11/2009,11,2009,Rambam,Alkalai,2,3,40,500000
20/11/2009,11,2009,Rambam,Givati,4,4,96,1065000
20/11/2009,11,2009,Rambam,Dror,3,2,67,840000
23/11/2009,11,2009,Rambam,ShlomoEliraz,4,17,100,1351516
25/11/2009,11,2009,Rambam,YohananHaSandlar,4,4,82,860000
26/11/2009,11,2009,NeotShikma,HaNagid,4,2,82,1190000
29/11/2009,11,2009,Rambam,Herzl,3,2,50,670000
03/12/2009,12,2009,Rambam,Vitkin,4,4,103,1050000
03/12/2009,12,2009,NeotShikma,HaNagid,4,5,82,1280000
06/12/2009,12,2009,NeotShikma,Kapah,3,9,71,1210000
07/12/2009,12,2009,NeotAshalim,HaPsanter,4,7,79,1280000
10/12/2009,12,2009,Rambam,Eisenband,4,4,69,750000
14/12/2009,12,2009,NeotAshalim,HaPsanter,4,4,100,1400000
15/12/2009,12,2009,Rambam,Herzl,2,1,60,600000
16/12/2009,12,2009,Rambam,Alkalai,2,3,60,570000
16/12/2009,12,2009,NeotShikma,HaRavNeriya,5,9,120,1792000
16/12/2009,12,2009,NeotShikma,BenSaruq,5,12,119,1995000
17/12/2009,12,2009,NeotShikma,HaRashba,3,10,69,1200000
20/12/2009,12,2009,NeotShikma,HaRavGoren,3,4,71,1250000
21/12/2009,12,2009,NeotShikma,Kapah,5,10,114,1770000
21/12/2009,12,2009,NeotShikma,BenSaruq,4,6,84,1400000
21/12/2009,12,2009,NeotShikma,HaRashba,5,11,145,2380000
22/12/2009,12,2009,NeotShikma,Kalischer,3,1,70,1086000
23/12/2009,12,2009,Rambam,KidushHaShem,4,2,93,1000000
23/12/2009,12,2009,NeotShikma,Shlonsky,5,2,135,2575000
23/12/2009,12,2009,Rambam,Givati,4,5,85,1230000
24/12/2009,12,2009,Rambam,HaAhimSuleiman,4,5,99,1360000
24/12/2009,12,2009,Rambam,DavidAlroi,3,2,49,650000
28/12/2009,12,2009,NeotShikma,HaRashba,5,9,108,1570000
29/12/2009,12,2009,Rambam,TsviFrank,4,3,92,1100000
30/12/2009,12,2009,NeotAshalim,HaTizmoret,5,2,115,1760000
30/12/2009,12,2009,NeotShikma,HaRavGoren,3,3,67,1200000
31/12/2009,12,2009,PrasNovel,MaagalAshalom,4,8,95,1565000
31/12/2009,12,2009,Rambam,YehudaHalevi,4.5,6,113,1250000
31/12/2009,12,2009,NeotAshalim,HaOrgan,1,6,142,2000000
31/12/2009,12,2009,Rambam,Rothschild,3,2,64,870000
03/01/2010,1,2010,NeotShikma,AlHarizi,5,1,120,1800000
04/01/2010,1,2010,Rambam,Nordau,5,3,134,1526000
06/01/2010,1,2010,Rambam,Vigodski,4,1,89,1000000
07/01/2010,1,2010,NeotShikma,HaRashba,4,4,82,1150000
07/01/2010,1,2010,PrasNovel,MaagalAshalom,4,13,97,1730000
07/01/2010,1,2010,Rambam,Givati,4,1,90,940000
08/01/2010,1,2010,NeotAshalim,HaMapuhit,3,1,69,1100000
10/01/2010,1,2010,NeotAshalim,HeHalil,4,1,84,1100000
10/01/2010,1,2010,NeotAshalim,HaOrgan,3,5,62,1076000
10/01/2010,1,2010,NeotAshalim,HaMapuhit,5,6,124,1900000
14/01/2010,1,2010,Rambam,Rothschild,3,4,71,880000
18/01/2010,1,2010,Rambam,ShlomoEliraz,4,18,100,1345719
20/01/2010,1,2010,PrasNovel,MaagalAshalom,4,9,97,1600000
20/01/2010,1,2010,Rambam,EinHaKore,4,7,89,975000
20/01/2010,1,2010,NeotShikma,HaRashba,3,2,65,1200000
20/01/2010,1,2010,Rambam,YehudaLeib,3,1,53,775000
21/01/2010,1,2010,NeotShikma,Shlonsky,5,1,129,1852000
22/01/2010,1,2010,PrasNovel,MaagalAshalom,4,6,94,1670000
22/01/2010,1,2010,Rambam,HaRavHarlap,3,1,68,890000
